F,date,ticker,name,grp,r,y
2번 조정매집,20241111,011930,신성이엔지,생존,-0.7201278976818628,2024
2번 조정매집,20241112,011930,신성이엔지,생존,2.311489361702127,2024
2번 조정매집,20241113,011930,신성이엔지,생존,2.655353535353525,2024
2번 조정매집,20210929,012690,모나리자,생존,-1.91891625615764,2021
2번 조정매집,20211001,012690,모나리자,생존,1.2465644955300037,2021
2번 조정매집,20211006,012690,모나리자,생존,6.336778523489931,2021
2번 조정매집,20220310,013360,일성건설,생존,100.36166666666665,2022
2번 조정매집,20240806,014580,태경비케이,생존,9.981731207289293,2024
2번 조정매집,20240807,014580,태경비케이,생존,7.181581920903948,2024
2번 조정매집,20250204,014820,동원시스템즈,생존,6.302014388489211,2025
2번 조정매집,20240912,015590,DKME,생존,-5.276385542168679,2024
2번 조정매집,20240806,016380,KG스틸,생존,5.847272727272737,2024
2번 조정매집,20240807,016380,KG스틸,생존,3.648985507246386,2024
