ticker,ksic
084850,2629
084870,141
084990,70113
085310,2512
085370,27199
085450,64201
085620,65110
085660,211
085670,2622
085680,58221
085810,58222
085910,303
085980,20423
085990,29271
086040,70113
086060,462
086080,70113
086200,2642
086250,29293
086280,5299
086390,29271
086450,212
086460,70113
086520,64992
086670,29133
086710,20499
086720,68112
086790,64992
086820,211
086830,264
086890,213
086900,211
086960,58221
086980,59130
087010,211
087220,2413
087260,582
087600,2629
087730,20202
088010,71531
088020,2611
088130,292
088260,68112
088280,26129
088290,303
088340,58221
088350,65110
088390,319
088510,64201
088700,25912
088790,467
088800,2642
088810,2224
088910,10121
088960,263
088980,64201
089010,204
089030,29271
089140,292
089150,62021
089170,71531
089180,71531
089190,71531
089200,71531
089230,639
089240,2612
089470,204
089480,25912
089530,739
089590,511
089600,71310
089790,29271
089850,58221
089860,76110
089890,29271
089970,29271
089980,222
090080,303
090090,4791
090120,263
090150,303
090350,20411
090360,29280
090370,141
090410,25112
090430,20423
090460,2622
090470,29271
090540,68112
090710,29280
090730,24113
090740,26224
090850,58222
090970,76190
090980,76190
090990,76190
091000,76190
091090,251
091120,262
091270,58222
091340,2629
091440,26410
091580,28202
091590,411
091690,263
091700,2629
091810,511
091970,2229
091990,467
092040,108
092070,2049
092130,63991
092190,2612
092200,303
092220,2612
092230,201
092300,2622
